timestamp,b00,pred_reg,pred_cls_prob,pred_duration_6h,CCRI,risk_tier
2025-09-18 11:00:00,1185.0,1264.1030001259962,1.204825929731116e-05,6,0.7527861053497482,High
2025-09-18 12:00:00,1217.0,1270.869487401706,5.741546123876176e-05,5,0.7224253148670927,High
2025-09-18 13:00:00,1258.0,1285.059936202733,3.9750677607821555e-05,4,0.6952920558965653,High
2025-09-18 14:00:00,1259.0,1222.892669681514,3.031483054855355e-05,3,0.6347706257074791,Normal
2025-09-18 15:00:00,1194.0,1240.3076519225515,1.3684933507257981e-05,2,0.6090477408027234,Normal
2025-09-18 16:00:00,1116.0,1145.3952510071304,2.4777635050483303e-06,1,0.5342065845367641,Normal
2025-09-18 17:00:00,987.0,913.471562814375,7.719737268731348e-06,0,0.3994563839701464,Normal
2025-09-18 18:00:00,856.0,826.7995206365342,3.7249125402292066e-06,0,0.361554170052271,Normal
2025-09-18 19:00:00,784.0,800.0012175709633,3.6550057637553497e-06,0,0.34983545786737685,Normal
2025-09-18 20:00:00,742.0,752.630844315818,3.3420166980172216e-06,0,0.3291206651534692,Normal
2025-09-18 21:00:00,704.0,744.9842913991758,4.209572000631229e-06,0,0.325777146813867,Normal
2025-09-18 22:00:00,679.0,736.1894702705912,3.1694200135260856e-06,0,0.321930927330548,Normal
2025-09-18 23:00:00,667.0,725.8608320368439,3.199243732528081e-06,0,0.31741430245146673,Normal
2025-09-19 00:00:00,652.0,695.9305393347172,5.572335285097726e-06,0,0.30432672825765966,Normal
2025-09-19 01:00:00,633.0,689.7083572186929,0.0002858005119587023,0,0.30168988446821626,Normal
2025-09-19 02:00:00,620.0,688.7840313828067,0.0002857335400284165,0,0.301285663818702,Normal
2025-09-19 03:00:00,595.0,689.8728197580224,0.0002780788232250437,0,0.3017594861614079,Normal
2025-09-19 04:00:00,598.0,698.8046902333541,0.00027559596497139555,0,0.30566457936381103,Normal
2025-09-19 05:00:00,586.0,700.648380269986,0.00027559596497139555,0,0.3064708107949077,Normal
2025-09-19 06:00:00,588.0,694.7668482201365,0.0002780788232250437,1,0.33723294038949114,Normal
